Course code,Weighted Mean,Keywords
ME10001,51.86138888888888,Core
MT47003,51.60111111111111,Core
NA39004,51.49666666666666,"Tech, Core"
PH49009,51.46333333333334,"Core, Mathematics"
EP60007,51.45037037037037,
CY20204,51.333333333333336,"Core, Mathematics"
GG59010,51.333333333333336,Core
NA48002,51.333333333333336,Core
CY41012,51.28592592592593,Core
PH49006,51.271111111111104,Core
AE39004,51.24666666666666,"Core, Engineering"
AE49003,51.22444444444445,"Core, Optimization, Engineering."
AE48003,51.19888888888889,"Tech, Core, Software"
AE39002,51.14666666666666,Core
CE31111,51.02,"Core, Engineering"
BT20201,50.976666666666674,"Tech, Core, Business, Entrepreneurship"
BM40002,50.894814814814815,Business
EC21101,50.71722222222222,Tech
CS43002,50.71333333333334,"Tech, Core, Software"
GG59022,50.66666666666666,Core
CY49006,50.3962962962963,Tech
AT30001,50.39111111111111,"Software, Core."
HS41004,50.22888888888889,Business
CY41016,50.18592592592592,Environment
AE31008,50.12777777777778,"Tech, Core"
MT39005,50.11259259259259,"Core, Materials"
BT20205,50.11111111111111,"Core, Science"
BT20207,50.08888888888889,"Tech, Core"
CE41003,50.06444444444444,Core
GG20203,50.0,Core
CY30201,50.0,Core
CS47006,49.77777777777778,Core
GG21207,49.77777777777778,Environment
EP60025,49.76518518518518,
NA31002,49.60888888888889,Core
EP60006,49.54555555555555,
BT31006,49.38111111111112,"Tech, Core, ML, Software, Mathematics"
EP60010,49.3637037037037,
CY41018,49.34740740740741,Core
PH31205,49.333333333333336,"Core, Mathematics"
GG58005,49.333333333333336,This input cannot be classified as it is too broad and does not provide enough information about the specific engineering course.
EX49010,49.333333333333336,Core
PH41023,49.32962962962963,Core
AG39003,49.26740740740741,"Core, Environment"
BT31010,49.24111111111112,Core
IM31005,49.23555555555555,Core
CY20206,49.11111111111112,Core
AG31008,49.01222222222222,"Tech, Core, Environment"
AE47007,48.96333333333334,Core
CY29202,48.88888888888889,Core
IM58003,48.88888888888889,Language
NA20203,48.782222222222224,Core
EX57005,48.66666666666666,"Tech, Core, Software"
AR40025,48.66666666666666,"Core, Tech"
GG57007,48.66666666666666,"Tech, Core, Software"
PH41009,48.44444444444444,Core
BT41022,48.44444444444444,Core
PH57001,48.44444444444444,Core
EX59003,48.22222222222222,"Core, Tech, Environment"
GG50023,48.22222222222222,"Core, Tech, Environment"
CY41215,48.0,Core
BT61030,47.97444444444445,
AG40011,47.79888888888889,"Core, Tech"
NA49007,47.70666666666667,Core
CY50033,47.705925925925925,Core
AR20201,47.65111111111111,Core
ME60103,47.55555555555556,
PH49025,47.49444444444444,Core
AR23303,47.36111111111111,"Tech, Core, Software"
PH51001,47.333333333333336,Core
ME60403,47.333333333333336,
GG50010,47.333333333333336,Core
CY51003,47.27481481481481,Core
PH58033,47.11111111111112,"Tech, Software, Core."
MI50003,47.11111111111112,Environment
HS60009,46.888888888888886,
NA31006,46.71111111111112,Core
FP67001,46.66666666666667,
EX58001,46.66666666666667,It is not possible to classify a seminar into a specific engineering course category as it can cover a wide range of topics and may not necessarily be related to engineering.
AE31010,46.66444444444444,
BT39006,46.47777777777779,Core
CY20202,46.44444444444445,Core
MT31007,46.25629629629629,Core
EC61211,46.23111111111111,
EX59007,46.22222222222221,"Core, Environment"
CE47007,46.123333333333335,Core
FP58001,46.0,Language
NA57003,46.0,"Tech, Core, Software"
MA51109,45.873333333333335,ML (Machine Learning)
BT49001,45.77222222222222,"Tech, Core, Environment"
AE40031,45.76,"Tech, Core"
EC29003,45.59,Tech
AG31006,45.43333333333334,"Tech, Core"
AG39005,45.42296296296296,"Tech, Core"
ME60404,45.33333333333333,
MA30014,45.17,"Mathematics, Optimization."
MT41027,45.098888888888894,Core
